"mes","anio","depto","producto","sale_kg","ingresa_kg","total_importado","fecha"
2,2013,"ANTIOQUIA","Limón Tahití",0.068575,0.290925,-0.22235,2013-02-01
2,2013,"ANTIOQUIA","Papa capira",1.95303,5.88601,-3.93298,2013-02-01
2,2013,"ANTIOQUIA","Papa criolla",0.600916,0.905696,-0.30478,2013-02-01
2,2013,"ANTIOQUIA","Papa nevada",0.365429,0.251909,0.11352,2013-02-01
2,2013,"ANTIOQUIA","Plátano guineo",0.240361,0.480936,-0.240575,2013-02-01
2,2013,"ANTIOQUIA","Plátano hartón verde",0.91029,3.970948,-3.060658,2013-02-01
2,2013,"ANTIOQUIA","Plátanos otros",0.126005,0.215058,-0.089053,2013-02-01
2,2013,"ANTIOQUIA","Repollo",1.071325,1.202005,-0.13068,2013-02-01
2,2013,"ANTIOQUIA","Tomate chonto",1.470419,2.494009,-1.02359,2013-02-01
2,2013,"ANTIOQUIA","Tomate larga vida",0.0063,0.0233,-0.017,2013-02-01
2,2013,"ANTIOQUIA","Yuca",1.32645,1.45345,-0.127,2013-02-01
